Gene	Length	Isolate
Biotrigo9-1_11845	206	Biotrigo9-1
Biotrigo9-1_11924	135	Biotrigo9-1
Biotrigo9-1_12009	137	Biotrigo9-1
Biotrigo9-1_12107	121	Biotrigo9-1
Biotrigo9-1_12153	112	Biotrigo9-1
Biotrigo9-1_12156	43	Biotrigo9-1
Biotrigo9-1_12176	85	Biotrigo9-1
Biotrigo9-1_12236	147	Biotrigo9-1
Biotrigo9-1_12252	210	Biotrigo9-1
Biotrigo9-1_12336	244	Biotrigo9-1
Biotrigo9-1_12513	108	Biotrigo9-1
Biotrigo9-1_12571	363	Biotrigo9-1
Biotrigo9-1_12586	191	Biotrigo9-1
Biotrigo9-1_12587	127	Biotrigo9-1
Biotrigo9-1_12624	267	Biotrigo9-1
Biotrigo9-1_12676	227	Biotrigo9-1
Biotrigo9-1_12683	294	Biotrigo9-1
Biotrigo9-1_12705	445	Biotrigo9-1
Biotrigo9-1_12736	518	Biotrigo9-1
Biotrigo9-1_12755	58	Biotrigo9-1
Biotrigo9-1_12878	244	Biotrigo9-1
Biotrigo9-1_12915	199	Biotrigo9-1
Biotrigo9-1_12929	238	Biotrigo9-1
Biotrigo9-1_12930	358	Biotrigo9-1
Biotrigo9-1_12974	130	Biotrigo9-1
Biotrigo9-1_12975	310	Biotrigo9-1
Biotrigo9-1_13036	86	Biotrigo9-1
Biotrigo9-1_13057	288	Biotrigo9-1
Biotrigo9-1_13070	264	Biotrigo9-1
Biotrigo9-1_13073	167	Biotrigo9-1
Biotrigo9-1_13080	251	Biotrigo9-1
Biotrigo9-1_13100	123	Biotrigo9-1
Biotrigo9-1_13130	384	Biotrigo9-1
Biotrigo9-1_13157	55	Biotrigo9-1
Biotrigo9-1_13159	402	Biotrigo9-1
Biotrigo9-1_13166	390	Biotrigo9-1
Biotrigo9-1_13213	162	Biotrigo9-1
Biotrigo9-1_13279	78	Biotrigo9-1
Biotrigo9-1_13306	134	Biotrigo9-1
Biotrigo9-1_13334	336	Biotrigo9-1
Biotrigo9-1_13466	196	Biotrigo9-1
Biotrigo9-1_13498	132	Biotrigo9-1
Biotrigo9-1_13575	192	Biotrigo9-1
Biotrigo9-1_13584	128	Biotrigo9-1
Biotrigo9-1_13610	64	Biotrigo9-1
Biotrigo9-1_13675	256	Biotrigo9-1
Biotrigo9-1_13753	187	Biotrigo9-1
Biotrigo9-1_13792	286	Biotrigo9-1
Biotrigo9-1_13857	57	Biotrigo9-1
Biotrigo9-1_14060	219	Biotrigo9-1
Biotrigo9-1_14068	147	Biotrigo9-1
Biotrigo9-1_14154	96	Biotrigo9-1
M4_KAF7564210.1	103	M4
M4_KAF7564291.1	72	M4
M4_KAF7564431.1	230	M4
M4_KAF7564433.1	50	M4
M4_KAF7564434.1	52	M4
M4_KAF7564487.1	171	M4
M4_KAF7564505.1	107	M4
M4_KAF7564636.1	227	M4
M4_KAF7564637.1	66	M4
M4_KAF7564643.1	274	M4
M4_KAF7564657.1	125	M4
M4_KAF7564670.1	81	M4
M4_KAF7564671.1	86	M4
M4_KAF7564830.1	351	M4
M4_KAF7564883.1	340	M4
M4_KAF7564893.1	98	M4
M4_KAF7564901.1	121	M4
M4_KAF7564922.1	303	M4
M4_KAF7564962.1	68	M4
M4_KAF7564972.1	145	M4
M4_KAF7564973.1	127	M4
M4_KAF7564977.1	103	M4
M4_KAF7564991.1	131	M4
M4_KAF7565001.1	87	M4
M4_KAF7565014.1	311	M4
M4_KAF7565025.1	501	M4
M4_KAF7565046.1	245	M4
M4_KAF7565056.1	160	M4
M4_KAF7565059.1	138	M4
M4_KAF7565081.1	90	M4
M4_KAF7565092.1	214	M4
M4_KAF7565098.1	232	M4
M4_KAF7565166.1	191	M4
M4_KAF7565204.1	256	M4
M4_KAF7565215.1	256	M4
M4_KAF7565250.1	93	M4
M4_KAF7565255.1	310	M4
M4_KAF7565256.1	130	M4
M4_KAF7565304.1	237	M4
M4_KAF7565305.1	238	M4
M4_KAF7565323.1	199	M4
M4_KAF7565331.1	95	M4
M4_KAF7565355.1	130	M4
M4_KAF7565358.1	244	M4
M4_KAF7565489.1	58	M4
M4_KAF7565508.1	518	M4
M4_KAF7565511.1	78	M4
M4_KAF7565512.1	81	M4
M4_KAF7565565.1	117	M4
M4_KAF7565572.1	227	M4
M4_KAF7565580.1	108	M4
M4_KAF7565628.1	267	M4
M4_KAF7565670.1	94	M4
M4_KAF7565672.1	191	M4
M4_KAF7565813.1	96	M4
M4_KAF7565911.1	135	M4
M4_KAF7565938.1	187	M4
M4_KAF7565988.1	69	M4
M4_KAF7566035.1	240	M4
M4_KAF7566072.1	68	M4
M4_KAF7566131.1	85	M4
M4_KAF7566162.1	69	M4
M4_KAF7566172.1	81	M4
M4_KAF7566189.1	76	M4
M4_KAF7566205.1	408	M4
M4_KAF7566234.1	148	M4
M4_KAF7566415.1	510	M4
M4_KAF7566437.1	72	M4
M4_KAF7566516.1	62	M4
M4_KAF7566545.1	418	M4
M4_KAF7566686.1	181	M4
M4_KAF7566691.1	82	M4
M4_KAF7566751.1	251	M4
M4_KAF7566828.1	36	M4
M4_KAF7566831.1	295	M4
M4_KAF7566841.1	88	M4
M4_KAF7566900.1	84	M4
M4_KAF7566908.1	326	M4
M4_KAF7566924.1	80	M4
M4_KAF7567007.1	111	M4
M4_KAF7567011.1	90	M4
M4_KAF7567026.1	244	M4
M4_KAF7567132.1	147	M4
M4_KAF7567200.1	85	M4
M4_KAF7567220.1	43	M4
M4_KAF7567223.1	72	M4
M4_KAF7567265.1	121	M4
M4_KAF7567307.1	76	M4
M4_KAF7567356.1	230	M4
M4_KAF7567365.1	137	M4
M4_KAF7567380.1	105	M4
M4_KAF7567391.1	89	M4
M4_KAF7567540.1	206	M4
M4_KAF7567593.1	86	M4
M4_KAF7567848.1	96	M4
M4_KAF7567860.1	172	M4
M4_KAF7567947.1	76	M4
M4_KAF7567948.1	161	M4
M4_KAF7567953.1	157	M4
M4_KAF7567954.1	100	M4
M4_KAF7567958.1	238	M4
M4_KAF7567982.1	95	M4
M4_KAF7568005.1	83	M4
M4_KAF7568042.1	121	M4
M4_KAF7568044.1	124	M4
M4_KAF7568057.1	172	M4
M4_KAF7568071.1	78	M4
M4_KAF7568076.1	129	M4
M4_KAF7568085.1	68	M4
M4_KAF7568136.1	211	M4
M4_KAF7568153.1	59	M4
M4_KAF7568158.1	67	M4
M4_KAF7568165.1	205	M4
M4_KAF7568172.1	227	M4
M4_KAF7568200.1	212	M4
M4_KAF7568291.1	43	M4
M4_KAF7568309.1	319	M4
M4_KAF7568329.1	59	M4
M4_KAF7568370.1	438	M4
M4_KAF7568386.1	158	M4
M4_KAF7568441.1	111	M4
M4_KAF7568455.1	87	M4
M4_KAF7568477.1	236	M4
M4_KAF7568480.1	231	M4
M4_KAF7568489.1	121	M4
M4_KAF7568507.1	95	M4
M4_KAF7568516.1	165	M4
M4_KAF7568574.1	84	M4
M4_KAF7568579.1	66	M4
M4_KAF7568596.1	402	M4
M4_KAF7568600.1	277	M4
M4_KAF7568630.1	148	M4
M4_KAF7568700.1	150	M4
M4_KAF7568701.1	93	M4
M4_KAF7568722.1	85	M4
M4_KAF7568749.1	258	M4
M4_KAF7568761.1	70	M4
M4_KAF7568785.1	135	M4
M4_KAF7568873.1	180	M4
M4_KAF7568877.1	92	M4
M4_KAF7568888.1	103	M4
M4_KAF7568898.1	92	M4
M4_KAF7568899.1	104	M4
M4_KAF7568954.1	105	M4
M4_KAF7568978.1	134	M4
M4_KAF7568991.1	64	M4
M4_KAF7568994.1	196	M4
M4_KAF7569009.1	75	M4
M4_KAF7569056.1	195	M4
M4_KAF7569068.1	112	M4
M4_KAF7569151.1	258	M4
M4_KAF7569165.1	199	M4
M4_KAF7569185.1	137	M4
M4_KAF7569187.1	126	M4
M4_KAF7569190.1	111	M4
M4_KAF7569212.1	273	M4
M4_KAF7569219.1	90	M4
M4_KAF7569251.1	454	M4
M4_KAF7569276.1	69	M4
M4_KAF7569371.1	227	M4
M4_KAF7569380.1	85	M4
M4_KAF7569393.1	51	M4
M4_KAF7569399.1	253	M4
M4_KAF7569402.1	631	M4
M4_KAF7569403.1	162	M4
M4_KAF7569420.1	197	M4
M4_KAF7569425.1	78	M4
M4_KAF7569451.1	178	M4
M4_KAF7569470.1	153	M4
M4_KAF7569496.1	217	M4
M4_KAF7569518.1	278	M4
M4_KAF7569542.1	55	M4
M4_KAF7569549.1	72	M4
M4_KAF7569558.1	177	M4
M4_KAF7569559.1	213	M4
M4_KAF7569602.1	131	M4
M4_KAF7569611.1	97	M4
M4_KAF7569619.1	208	M4
M4_KAF7569641.1	181	M4
M4_KAF7569643.1	222	M4
M4_KAF7569673.1	88	M4
M4_KAF7569692.1	88	M4
M4_KAF7569702.1	398	M4
M4_KAF7569708.1	85	M4
M4_KAF7569713.1	99	M4
M4_KAF7569764.1	241	M4
M4_KAF7569780.1	106	M4
M4_KAF7569877.1	429	M4
M4_KAF7569902.1	93	M4
M4_KAF7569947.1	238	M4
M4_KAF7569951.1	84	M4
M4_KAF7569952.1	226	M4
M4_KAF7569953.1	116	M4
M4_KAF7569995.1	104	M4
M4_KAF7569996.1	92	M4
M4_KAF7569997.1	92	M4
M4_KAF7570026.1	144	M4
M4_KAF7570040.1	112	M4
M4_KAF7570090.1	211	M4
M4_KAF7570093.1	270	M4
M4_KAF7570128.1	228	M4
M4_KAF7570130.1	84	M4
M4_KAF7570204.1	63	M4
M4_KAF7570224.1	146	M4
M4_KAF7570227.1	64	M4
M4_KAF7570229.1	93	M4
M4_KAF7570279.1	76	M4
M4_KAF7570331.1	57	M4
M4_KAF7570351.1	91	M4
M4_KAF7570361.1	238	M4
M4_KAF7570377.1	292	M4
M4_KAF7570392.1	297	M4
M4_KAF7570429.1	244	M4
M4_KAF7570438.1	130	M4
M4_KAF7570589.1	156	M4
M4_KAF7570606.1	104	M4
M4_KAF7570651.1	97	M4
M4_KAF7570672.1	203	M4
M4_KAF7570742.1	147	M4
M4_KAF7570760.1	82	M4
M4_KAF7570764.1	277	M4
M4_KAF7570796.1	196	M4
M4_KAF7570797.1	109	M4
M4_KAF7570798.1	193	M4
M4_KAF7570824.1	176	M4
M4_KAF7570864.1	258	M4
M4_KAF7570894.1	177	M4
M4_KAF7570936.1	136	M4
M4_KAF7570956.1	174	M4
M4_KAF7570957.1	248	M4
M4_KAF7571017.1	85	M4
M4_KAF7571029.1	69	M4
M4_KAF7571051.1	189	M4
M4_KAF7571077.1	105	M4
M4_KAF7571087.1	283	M4
M4_KAF7571091.1	218	M4
M4_KAF7571144.1	58	M4
M4_KAF7571145.1	66	M4
M4_KAF7571175.1	156	M4
M4_KAF7571291.1	252	M4
M4_KAF7571296.1	131	M4
M4_KAF7571319.1	157	M4
M4_KAF7571320.1	213	M4
M4_KAF7571372.1	246	M4
M4_KAF7571393.1	118	M4
M4_KAF7571395.1	253	M4
M4_KAF7571410.1	96	M4
M4_KAF7571451.1	295	M4
M4_KAF7571472.1	93	M4
M4_KAF7571503.1	149	M4
M4_KAF7571531.1	449	M4
M4_KAF7571541.1	170	M4
M4_KAF7571604.1	98	M4
M4_KAF7571641.1	198	M4
M4_KAF7571648.1	155	M4
M4_KAF7571687.1	78	M4
M4_KAF7571702.1	78	M4
M4_KAF7571709.1	91	M4
M4_KAF7571712.1	59	M4
M4_KAF7571726.1	375	M4
M4_KAF7571737.1	144	M4
M4_KAF7571751.1	318	M4
M4_KAF7571752.1	251	M4
M4_KAF7571786.1	85	M4
M4_KAF7571787.1	150	M4
M4_KAF7571804.1	89	M4
M4_KAF7571817.1	69	M4
M4_KAF7571832.1	309	M4
M4_KAF7571878.1	56	M4
M4_KAF7571888.1	378	M4
M4_KAF7571896.1	133	M4
M4_KAF7571897.1	114	M4
M4_KAF7571912.1	193	M4
M4_KAF7571964.1	173	M4
M4_KAF7571980.1	154	M4
M4_KAF7572018.1	219	M4
M4_KAF7572034.1	77	M4
M4_KAF7572066.1	314	M4
M4_KAF7572079.1	97	M4
M4_KAF7572167.1	229	M4
M4_KAF7572203.1	85	M4
M4_KAF7572215.1	72	M4
M4_KAF7572233.1	91	M4
M4_KAF7572259.1	161	M4
M4_KAF7572266.1	119	M4
M4_KAF7572291.1	195	M4
M4_KAF7572317.1	131	M4
M4_KAF7572362.1	260	M4
M4_KAF7572381.1	69	M4
M4_KAF7572388.1	110	M4
M4_KAF7572423.1	128	M4
M4_KAF7572424.1	109	M4
M4_KAF7572425.1	99	M4
M4_KAF7572434.1	99	M4
M4_KAF7572442.1	136	M4
M4_KAF7572450.1	210	M4
M4_KAF7572532.1	197	M4
M4_KAF7572620.1	251	M4
M4_KAF7572633.1	221	M4
M4_KAF7572666.1	245	M4
M4_KAF7572668.1	187	M4
M4_KAF7572690.1	210	M4
M4_KAF7572727.1	100	M4
M4_KAF7572729.1	448	M4
M4_KAF7572854.1	349	M4
M4_KAF7572931.1	234	M4
M4_KAF7572942.1	123	M4
M4_KAF7572998.1	433	M4
M4_KAF7573028.1	179	M4
M4_KAF7573078.1	97	M4
M4_KAF7573105.1	52	M4
M4_KAF7573130.1	82	M4
M4_KAF7573151.1	182	M4
M4_KAF7573179.1	164	M4
M4_KAF7573180.1	171	M4
M4_KAF7573204.1	449	M4
M4_KAF7573238.1	255	M4
M4_KAF7573240.1	155	M4
M4_KAF7573331.1	133	M4
M4_KAF7573350.1	152	M4
M4_KAF7573357.1	64	M4
M4_KAF7573358.1	92	M4
M4_KAF7573360.1	59	M4
M4_KAF7573361.1	291	M4
M4_KAF7573362.1	355	M4
M4_KAF7573400.1	187	M4
M4_KAF7573444.1	62	M4
M4_KAF7573460.1	482	M4
M4_KAF7573548.1	197	M4
M4_KAF7573553.1	110	M4
M4_KAF7573559.1	96	M4
M4_KAF7573560.1	83	M4
M4_KAF7573658.1	107	M4
M4_KAF7573751.1	331	M4
M4_KAF7573765.1	89	M4
M4_KAF7573766.1	88	M4
M4_KAF7573780.1	286	M4
M4_KAF7574026.1	166	M4
M4_KAF7574043.1	433	M4
M4_KAF7574099.1	232	M4
M4_KAF7574156.1	278	M4
M4_KAF7574194.1	116	M4
M4_KAF7574204.1	115	M4
M4_KAF7574205.1	85	M4
M4_KAF7574252.1	144	M4
M4_KAF7574335.1	48	M4
M4_KAF7574357.1	74	M4
M4_KAF7574403.1	103	M4
M4_KAF7574441.1	135	M4
M4_KAF7574458.1	191	M4
M4_KAF7574521.1	278	M4
M4_KAF7574539.1	81	M4
M4_KAF7574579.1	206	M4
M4_KAF7574633.1	44	M4
M4_KAF7574640.1	120	M4
M4_KAF7574716.1	104	M4
M4_KAF7574717.1	86	M4
M4_KAF7574756.1	212	M4
M4_KAF7574805.1	88	M4
M4_KAF7574826.1	162	M4
M4_KAF7574863.1	394	M4
M4_KAF7574902.1	39	M4
M4_KAF7574907.1	322	M4
M4_KAF7575036.1	153	M4
M4_KAF7575037.1	93	M4
M4_KAF7575047.1	166	M4
M4_KAF7575054.1	313	M4
M4_KAF7575078.1	138	M4
M4_KAF7575156.1	74	M4
M4_KAF7575161.1	147	M4
M4_KAF7575171.1	257	M4
M4_KAF7575172.1	178	M4
M4_KAF7575225.1	132	M4
M4_KAF7575261.1	196	M4
M4_KAF7575396.1	66	M4
M4_KAF7575431.1	134	M4
M4_KAF7575459.1	78	M4
M4_KAF7575469.1	211	M4
M4_KAF7575512.1	70	M4
M4_KAF7575560.1	390	M4
M4_KAF7575566.1	402	M4
M4_KAF7575568.1	55	M4
M4_KAF7575595.1	384	M4
M4_KAF7575627.1	123	M4
M4_KAF7575656.1	167	M4
M4_KAF7575659.1	230	M4
M4_KAF7575673.1	288	M4
M4_KAF7575691.1	63	M4
M4_KAF7575692.1	86	M4
M4_KAF7575795.1	140	M4
M4_KAF7575798.1	121	M4
M4_KAF7575811.1	96	M4
M4_KAF7575829.1	93	M4
M4_KAF7575836.1	140	M4
M4_KAF7575870.1	35	M4
M4_KAF7575904.1	92	M4
M4_KAF7575909.1	399	M4
M4_KAF7575960.1	109	M4
M4_KAF7575984.1	84	M4
M4_KAF7575986.1	156	M4
M4_KAF7575988.1	199	M4
M4_KAF7576006.1	496	M4
M4_KAF7576014.1	153	M4
M4_KAF7576066.1	158	M4
M4_KAF7576067.1	252	M4
M4_KAF7576159.1	164	M4
M4_KAF7576169.1	79	M4
M4_KAF7576229.1	154	M4
M4_KAF7576246.1	237	M4
M4_KAF7576247.1	101	M4
M4_KAF7576292.1	77	M4
M4_KAF7576329.1	317	M4
M4_KAF7576333.1	367	M4
M4_KAF7576370.1	228	M4
M4_KAF7576379.1	432	M4
M4_KAF7576399.1	154	M4
M4_KAF7576400.1	185	M4
M4_KAF7576446.1	70	M4
M4_KAF7576556.1	136	M4
M4_KAF7576557.1	128	M4
M4_KAF7576601.1	385	M4
M4_KAF7576603.1	99	M4
M4_KAF7576624.1	258	M4
M4_KAF7576742.1	108	M4
M4_KAF7576769.1	353	M4
M4_KAF7576777.1	67	M4
M4_KAF7576789.1	74	M4
M4_KAF7576801.1	179	M4
M4_KAF7576805.1	315	M4
M4_KAF7576815.1	258	M4
M4_KAF7576819.1	144	M4
M4_KAF7576831.1	183	M4
M4_KAF7576841.1	49	M4
M4_KAF7576905.1	267	M4
M4_KAF7577046.1	225	M4
M4_KAF7577057.1	146	M4
M4_KAF7577059.1	113	M4
M4_KAF7577110.1	123	M4
M4_KAF7577159.1	137	M4
M4_KAF7577171.1	76	M4
M4_KAF7577172.1	117	M4
M4_KAF7577180.1	291	M4
M4_KAF7577192.1	147	M4
M4_KAF7577264.1	127	M4
M4_KAF7577328.1	174	M4
M4_KAF7577341.1	145	M4
M4_KAF7577394.1	173	M4
M4_KAF7577469.1	106	M4
M4_KAF7577476.1	208	M4
M4_KAF7577486.1	82	M4
M4_KAF7577502.1	72	M4
M4_KAF7577520.1	69	M4
M4_KAF7577521.1	96	M4
M4_KAF7577522.1	96	M4
M4_KAF7577523.1	129	M4
M4_KAF7577551.1	250	M4
M4_KAF7577556.1	53	M4
M4_KAF7577567.1	129	M4
M4_KAF7577582.1	203	M4
M4_KAF7577631.1	177	M4
M4_KAF7577655.1	106	M4
M4_KAF7577661.1	89	M4
M4_KAF7577733.1	174	M4
M4_KAF7577827.1	58	M4
M4_KAF7577861.1	74	M4
M4_KAF7577987.1	315	M4
M4_KAF7578007.1	74	M4
M4_KAF7578060.1	95	M4
M4_KAF7578077.1	187	M4
M4_KAF7578105.1	114	M4
M4_KAF7578107.1	93	M4
M4_KAF7578122.1	42	M4
M4_KAF7578139.1	107	M4
M4_KAF7578218.1	70	M4
M4_KAF7578232.1	500	M4
M4_KAF7578233.1	236	M4
M4_KAF7578252.1	236	M4
M4_KAF7578274.1	357	M4
M4_KAF7578287.1	245	M4
M4_KAF7578332.1	244	M4
M4_KAF7578350.1	304	M4
M4_KAF7578364.1	222	M4
M4_KAF7578497.1	95	M4
M4_KAF7578501.1	231	M4
M4_KAF7578537.1	256	M4
M4_KAF7578569.1	119	M4
M4_KAF7578597.1	98	M4
M4_KAF7578742.1	282	M4
M4_KAF7578780.1	203	M4
M4_KAF7578815.1	420	M4
M4_KAF7578826.1	76	M4
M4_KAF7578875.1	273	M4
M4_KAF7578922.1	226	M4
M4_KAF7579019.1	207	M4
M4_KAF7579097.1	203	M4
M4_KAF7579105.1	144	M4
M4_KAF7579112.1	157	M4
M4_KAF7579132.1	417	M4
M4_KAF7579189.1	120	M4
M4_KAF7579195.1	404	M4
M4_KAF7579212.1	263	M4
M4_KAF7579257.1	116	M4
M4_KAF7579266.1	224	M4
M4_KAF7579277.1	458	M4
M4_KAF7579281.1	259	M4
M4_KAF7579321.1	190	M4
M4_KAF7579339.1	158	M4
M4_KAF7579358.1	89	M4
M4_KAF7579386.1	135	M4
M4_KAF7579392.1	89	M4
M4_KAF7579397.1	218	M4
M4_KAF7579404.1	242	M4
M4_KAF7579422.1	163	M4
M4_KAF7579458.1	399	M4
M4_KAF7579508.1	455	M4
M4_KAF7579524.1	245	M4
M4_KAF7579536.1	114	M4
M4_KAF7579562.1	109	M4
DW5_KAF7441429.1	380	DW5
DW5_KAF7441493.1	92	DW5
DW5_KAF7441494.1	92	DW5
DW5_KAF7441495.1	104	DW5
DW5_KAF7441516.1	89	DW5
DW5_KAF7441555.1	92	DW5
DW5_KAF7441556.1	92	DW5
DW5_KAF7441557.1	104	DW5
DW5_KAF7441569.1	92	DW5
DW5_KAF7441570.1	92	DW5
DW5_KAF7441571.1	106	DW5
DW5_KAF7441637.1	87	DW5
DW5_KAF7441653.1	87	DW5
DW5_KAF7441688.1	87	DW5
DW5_KAF7441707.1	87	DW5
DW5_KAF7441718.1	87	DW5
DW5_KAF7441728.1	87	DW5
DW5_KAF7441737.1	87	DW5
DW5_KAF7441755.1	87	DW5
DW5_KAF7441841.1	96	DW5
DW5_KAF7441887.1	190	DW5
DW5_KAF7441935.1	76	DW5
DW5_KAF7441936.1	161	DW5
DW5_KAF7441941.1	157	DW5
DW5_KAF7441942.1	100	DW5
DW5_KAF7441946.1	238	DW5
DW5_KAF7441973.1	95	DW5
DW5_KAF7441995.1	83	DW5
DW5_KAF7442029.1	124	DW5
DW5_KAF7442056.1	76	DW5
DW5_KAF7442057.1	78	DW5
DW5_KAF7442063.1	129	DW5
DW5_KAF7442068.1	89	DW5
DW5_KAF7442087.1	109	DW5
DW5_KAF7442101.1	114	DW5
DW5_KAF7442113.1	245	DW5
DW5_KAF7442130.1	464	DW5
DW5_KAF7442180.1	399	DW5
DW5_KAF7442216.1	163	DW5
DW5_KAF7442225.1	242	DW5
DW5_KAF7442231.1	218	DW5
DW5_KAF7442236.1	89	DW5
DW5_KAF7442242.1	135	DW5
DW5_KAF7442270.1	91	DW5
DW5_KAF7442289.1	158	DW5
DW5_KAF7442306.1	189	DW5
DW5_KAF7442347.1	259	DW5
DW5_KAF7442352.1	458	DW5
DW5_KAF7442363.1	193	DW5
DW5_KAF7442399.1	323	DW5
DW5_KAF7442411.1	263	DW5
DW5_KAF7442428.1	404	DW5
DW5_KAF7442493.1	417	DW5
DW5_KAF7442506.1	117	DW5
DW5_KAF7442518.1	227	DW5
DW5_KAF7442605.1	207	DW5
DW5_KAF7442698.1	226	DW5
DW5_KAF7442736.1	273	DW5
DW5_KAF7442770.1	174	DW5
DW5_KAF7442786.1	55	DW5
DW5_KAF7442797.1	301	DW5
DW5_KAF7442822.1	66	DW5
DW5_KAF7442845.1	93	DW5
DW5_KAF7442846.1	150	DW5
DW5_KAF7442911.1	141	DW5
DW5_KAF7442924.1	61	DW5
DW5_KAF7442939.1	277	DW5
DW5_KAF7442945.1	402	DW5
DW5_KAF7442960.1	55	DW5
DW5_KAF7443018.1	119	DW5
DW5_KAF7443025.1	95	DW5
DW5_KAF7443043.1	60	DW5
DW5_KAF7443051.1	231	DW5
DW5_KAF7443055.1	236	DW5
DW5_KAF7443076.1	87	DW5
DW5_KAF7443090.1	136	DW5
DW5_KAF7443142.1	158	DW5
DW5_KAF7443156.1	438	DW5
DW5_KAF7443200.1	59	DW5
DW5_KAF7443220.1	319	DW5
DW5_KAF7443311.1	206	DW5
DW5_KAF7443337.1	187	DW5
DW5_KAF7443344.1	205	DW5
DW5_KAF7443352.1	67	DW5
DW5_KAF7443360.1	49	DW5
DW5_KAF7443375.1	211	DW5
DW5_KAF7443421.1	89	DW5
DW5_KAF7443450.1	88	DW5
DW5_KAF7443455.1	100	DW5
DW5_KAF7443458.1	36	DW5
DW5_KAF7443534.1	268	DW5
DW5_KAF7443594.1	82	DW5
DW5_KAF7443600.1	181	DW5
DW5_KAF7443732.1	418	DW5
DW5_KAF7443761.1	62	DW5
DW5_KAF7443767.1	189	DW5
DW5_KAF7443836.1	72	DW5
DW5_KAF7443858.1	510	DW5
DW5_KAF7444030.1	148	DW5
DW5_KAF7444056.1	408	DW5
DW5_KAF7444068.1	76	DW5
DW5_KAF7444085.1	173	DW5
DW5_KAF7444089.1	81	DW5
DW5_KAF7444097.1	69	DW5
DW5_KAF7444142.1	76	DW5
DW5_KAF7444145.1	68	DW5
DW5_KAF7444217.1	191	DW5
DW5_KAF7444262.1	214	DW5
DW5_KAF7444291.1	129	DW5
DW5_KAF7444294.1	160	DW5
DW5_KAF7444295.1	199	DW5
DW5_KAF7444305.1	245	DW5
DW5_KAF7444325.1	501	DW5
DW5_KAF7444347.1	87	DW5
DW5_KAF7444357.1	131	DW5
DW5_KAF7444371.1	103	DW5
DW5_KAF7444375.1	84	DW5
DW5_KAF7444376.1	145	DW5
DW5_KAF7444387.1	68	DW5
DW5_KAF7444427.1	303	DW5
DW5_KAF7444447.1	121	DW5
DW5_KAF7444455.1	109	DW5
DW5_KAF7444465.1	340	DW5
DW5_KAF7444514.1	351	DW5
DW5_KAF7444667.1	86	DW5
DW5_KAF7444668.1	81	DW5
DW5_KAF7444681.1	125	DW5
DW5_KAF7444689.1	159	DW5
DW5_KAF7444694.1	274	DW5
DW5_KAF7444702.1	66	DW5
DW5_KAF7444703.1	227	DW5
DW5_KAF7444848.1	189	DW5
DW5_KAF7444859.1	98	DW5
DW5_KAF7444897.1	52	DW5
DW5_KAF7444899.1	230	DW5
DW5_KAF7444945.1	87	DW5
DW5_KAF7444989.1	93	DW5
DW5_KAF7444993.1	222	DW5
DW5_KAF7444994.1	130	DW5
DW5_KAF7445036.1	93	DW5
DW5_KAF7445037.1	238	DW5
DW5_KAF7445085.1	130	DW5
DW5_KAF7445088.1	244	DW5
DW5_KAF7445224.1	58	DW5
DW5_KAF7445244.1	518	DW5
DW5_KAF7445247.1	78	DW5
DW5_KAF7445248.1	81	DW5
DW5_KAF7445296.1	111	DW5
DW5_KAF7445303.1	227	DW5
DW5_KAF7445405.1	94	DW5
DW5_KAF7445407.1	191	DW5
DW5_KAF7445454.1	165	DW5
DW5_KAF7445619.1	135	DW5
DW5_KAF7445645.1	187	DW5
DW5_KAF7445762.1	92	DW5
DW5_KAF7445763.1	230	DW5
DW5_KAF7445776.1	84	DW5
DW5_KAF7445781.1	326	DW5
DW5_KAF7445798.1	80	DW5
DW5_KAF7445877.1	111	DW5
DW5_KAF7445882.1	90	DW5
DW5_KAF7445909.1	160	DW5
DW5_KAF7445930.1	244	DW5
DW5_KAF7446030.1	147	DW5
DW5_KAF7446094.1	85	DW5
DW5_KAF7446112.1	43	DW5
DW5_KAF7446115.1	72	DW5
DW5_KAF7446126.1	250	DW5
DW5_KAF7446132.1	122	DW5
DW5_KAF7446159.1	121	DW5
DW5_KAF7446163.1	97	DW5
DW5_KAF7446203.1	76	DW5
DW5_KAF7446258.1	137	DW5
DW5_KAF7446271.1	105	DW5
DW5_KAF7446284.1	88	DW5
DW5_KAF7446428.1	206	DW5
DW5_KAF7446478.1	86	DW5
DW5_KAF7446654.1	92	DW5
DW5_KAF7446655.1	92	DW5
DW5_KAF7446656.1	104	DW5
DW5_KAF7446661.1	86	DW5
DW5_KAF7446684.1	105	DW5
DW5_KAF7446706.1	134	DW5
DW5_KAF7446720.1	115	DW5
DW5_KAF7446736.1	75	DW5
DW5_KAF7446792.1	112	DW5
DW5_KAF7446881.1	199	DW5
DW5_KAF7446904.1	137	DW5
DW5_KAF7446906.1	126	DW5
DW5_KAF7446909.1	298	DW5
DW5_KAF7446930.1	273	DW5
DW5_KAF7446937.1	90	DW5
DW5_KAF7446967.1	454	DW5
DW5_KAF7446991.1	81	DW5
DW5_KAF7447080.1	227	DW5
DW5_KAF7447087.1	85	DW5
DW5_KAF7447098.1	89	DW5
DW5_KAF7447101.1	34	DW5
DW5_KAF7447105.1	253	DW5
DW5_KAF7447108.1	631	DW5
DW5_KAF7447109.1	162	DW5
DW5_KAF7447126.1	271	DW5
DW5_KAF7447131.1	78	DW5
DW5_KAF7447173.1	278	DW5
